FishID,Species,TagID,TagType,Origin,FishIDs,ProjectID,ReleaseSite,CaptureDate,CaptureLocation,Easting,Northing,ForkLength,TotalLength,LengthUnit,Mass,MassUnit,Alive,Recapture,InitialRelease,Sex,Interorbital,InsideMouth,OutsideMouth,DorsalScore,CaudalScore,FinClipObs,Surgeon,VIE,DevelopmentalStage,StockingMark1,StockingMark2,FinClip,ScaleSample,SensorType,SensorIDCode,SensorCodeSpace,System,Notes
2012-SNS-0004-DMR,SNS,A69-9001-30403,Acoustic,,,,,"2012-08-09 10:44:00",33,,,77.10,,cm,3300.0,g,1,0,1,,51.00,39.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0005-DMR,SNS,A69-9001-30401,Acoustic,,,,,"2012-08-09 10:44:00",33,,,84.20,96.60,cm,4400.0,g,1,0,1,F,64.00,45.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0006-DMR,SNS,A69-9001-30398,Acoustic,,,,,"2012-08-09 10:44:00",33,,,70.10,81.80,cm,2900.0,g,1,0,1,,60.00,42.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0007-DMR,SNS,A69-9001-30404,Acoustic,,,,,"2012-08-09 12:13:00",33,,,80.50,90.00,cm,3700.0,g,1,0,1,,61.00,52.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0008-DMR,SNS,A69-9001-30395,Acoustic,,,,,"2012-08-09 12:13:00",33,,,73.40,83.90,cm,2800.0,g,1,0,1,,58.00,39.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0009-DMR,SNS,A69-9001-30392,Acoustic,,,,,"2012-08-09 12:13:00",33,,,84.60,99.10,cm,4300.0,g,1,0,1,M,58.00,43.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0010-DMR,SNS,A69-9001-30389,Acoustic,,,,,"2012-08-09 12:13:00",33,,,82.20,89.80,cm,3300.0,g,1,0,1,,66.00,46.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0011-DMR,SNS,A69-9001-30386,Acoustic,,,,,"2012-08-09 12:13:00",33,,,82.40,95.20,cm,4000.0,g,1,0,1,F,59.00,43.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0013-DMR,SNS,A69-9001-30399,Acoustic,,,,,"2012-08-13 11:00:00",33,,,75.10,85.70,cm,3300.0,g,1,0,1,,51.00,42.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0013-DMR,SNS,A69-9001-30399,Acoustic,,,,,"2013-09-19 14:30:00","44° 15.724  69° 46.322",438375,4901270,76.00,87.50,cm,3600.0,g,1,1,0,,52.00,40.00,,,,,,,,,,,,,NA,NA,Kennebec,"44° 15.724  69° 46.322"
2012-SNS-0014-DMR,SNS,A69-9001-30396,Acoustic,,,,,"2012-08-13 12:30:00",33,,,80.50,89.10,cm,5100.0,g,1,0,1,F,59.00,51.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0015-DMR,SNS,A69-9001-30393,Acoustic,,,,,"2012-08-13 12:30:00",33,,,78.60,87.80,cm,3000.0,g,1,0,1,,56.00,45.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0016-DMR,SNS,A69-9001-30390,Acoustic,,,,,"2012-08-13 12:30:00",33,,,81.00,90.80,cm,3700.0,g,1,0,1,,62.00,43.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0017-DMR,SNS,A69-9001-30387,Acoustic,,,,,"2012-08-13 14:45:00",33,,,79.60,89.50,cm,3800.0,g,1,0,1,F,56.00,46.00,,,,,,,,,,,,,NA,NA,Kennebec,
